Year,Top 1%,Top 5%,Top 10%,All,Bottom 90%
1980,4161007,1733841,1147563,170946,62433
1981,4326028,1747416,1145368,171070,62815
1982,4386376,1724946,1126599,170922,64736
1983,4312954,1722844,1134048,174458,67837
1984,4440246,1752652,1152291,178977,70831
1985,4736191,1837467,1202966,188896,76222
1986,5103983,1977804,1293153,203281,82184
1987,5530257,2093291,1358390,211409,83967
1988,6049208,2202696,1414918,216554,83402
1989,6222661,2271774,1459787,223780,86446
1990,6277105,2283610,1466986,223170,84968
1991,6197273,2288835,1469833,224409,86028
1992,6716113,2423718,1543581,230059,84112
1993,6896340,2482542,1579136,234092,84642
1994,6929076,2516390,1600622,237566,86115
1995,7260852,2619377,1666016,246423,88690
1996,7867302,2793405,1767889,259861,92303
1997,8661191,3022891,1902262,277273,96719
1998,9847263,3379542,2109370,304963,104474
1999,11242306,3782500,2346904,337597,114340
2000,11826127,3922649,2418869,346310,116025
2001,10998886,3690055,2290086,330923,113238
2002,10045140,3464151,2165055,313685,107977
2003,10348515,3554691,2219631,320427,109405
2004,11853626,3991833,2473229,353460,117930
2005,12983416,4321743,2672611,382124,127625
2006,13936325,4591823,2821808,399344,130182
2007,14337926,4670325,2857176,398819,125668
2008,13115936,4222565,2566882,343952,96960
2009,11643592,3786175,2309706,307649,85198
2010,12589024,3987729,2412405,318524,85871
2011,12801254,4051141,2443659,321631,85851
2012,13839846,4277897,2555924,330907,83683
