Year,Family_Size_1,Family_Size_2,Family_Size_3,Family_Size_4,Family_Size_5,Family_Size_6
1996,8163,10564,12629,15911,18725,20965
1997,8350,10805,12919,16276,19154,21446
1998,8480,10972,13120,16530,19453,21780
1999,8667,11214,13410,16895,19882,22261
2000,8959,11590,13861,17463,20550,23009
2001,9214,11920,14255,17960,21135,23664
2002,9359,12110,14480,18244,21469,24038
2003,9573,12384,14810,18660,21959,24586
2004,9827,12714,15205,19157,22543,25241
2005,10160,13145,15720,19806,23307,26096
2006,10488,13569,16227,20444,24059,26938
2007,10787,13954,16689,21027,24744,27705
2008,11201,14489,17330,21834,25694,28769
2009,11678,15107,18069,22765,26789,29995
2010,11701,15136,18104,22809,26841,30053
2011,11888,15378,18393,23173,27270,30534
2012,12043,15578,18632,23475,27625,30931
2013,12175,15749,18837,23733,27929,31271
